id,prd,prc,bgn,min,max,cnt,cum,code,traded_at,created_at,updated_at
747592,1,1845,1830,1830,1845,1775,1775,001020,"2021-10-12 09:00:00","2022-11-10 04:59:57","2022-11-10 04:59:57"
747591,1,1845,1845,1845,1845,3,1778,001020,"2021-10-12 09:01:00","2022-11-10 04:59:57","2022-11-10 04:59:57"
747590,1,1845,1845,1845,1845,0,1778,001020,"2021-10-12 09:02:00","2022-11-10 04:59:57","2022-11-10 04:59:57"
747589,1,1830,1845,1825,1845,3404,5182,001020,"2021-10-12 09:03:00","2022-11-10 04:59:57","2022-11-10 04:59:57"
747588,1,1780,1820,1780,1820,4988,10170,001020,"2021-10-12 09:04:00","2022-11-10 04:59:57","2022-11-10 04:59:57"
747587,1,1780,1785,1780,1785,200,10370,001020,"2021-10-12 09:05:00","2022-11-10 04:59:57","2022-11-10 04:59:57"
747586,1,1780,1780,1775,1795,2896,13266,001020,"2021-10-12 09:06:00","2022-11-10 04:59:57","2022-11-10 04:59:57"
747585,1,1785,1785,1785,1805,92,13358,001020,"2021-10-12 09:07:00","2022-11-10 04:59:57","2022-11-10 04:59:57"
747584,1,1800,1800,1800,1800,1,13359,001020,"2021-10-12 09:08:00","2022-11-10 04:59:57","2022-11-10 04:59:57"
747583,1,1800,1800,1800,1800,1,13360,001020,"2021-10-12 09:09:00","2022-11-10 04:59:57","2022-11-10 04:59:57"
747582,1,1780,1790,1780,1800,1221,14581,001020,"2021-10-12 09:10:00","2022-11-10 04:59:57","2022-11-10 04:59:57"
747581,1,1795,1795,1795,1795,1,14582,001020,"2021-10-12 09:11:00","2022-11-10 04:59:57","2022-11-10 04:59:57"
747580,1,1800,1795,1795,1800,900,15482,001020,"2021-10-12 09:12:00","2022-11-10 04:59:57","2022-11-10 04:59:57"
747579,1,1805,1805,1805,1805,501,15983,001020,"2021-10-12 09:13:00","2022-11-10 04:59:57","2022-11-10 04:59:57"
747578,1,1800,1800,1800,1800,5,15988,001020,"2021-10-12 09:14:00","2022-11-10 04:59:57","2022-11-10 04:59:57"
747577,1,1800,1800,1800,1800,17,16005,001020,"2021-10-12 09:15:00","2022-11-10 04:59:57","2022-11-10 04:59:57"
747576,1,1800,1800,1800,1800,0,16005,001020,"2021-10-12 09:16:00","2022-11-10 04:59:57","2022-11-10 04:59:57"
747575,1,1800,1800,1800,1800,153,16158,001020,"2021-10-12 09:17:00","2022-11-10 04:59:57","2022-11-10 04:59:57"
747574,1,1805,1805,1805,1805,1,16159,001020,"2021-10-12 09:18:00","2022-11-10 04:59:57","2022-11-10 04:59:57"
747573,1,1805,1805,1805,1805,0,16159,001020,"2021-10-12 09:19:00","2022-11-10 04:59:57","2022-11-10 04:59:57"
747572,1,1795,1795,1795,1805,31,16190,001020,"2021-10-12 09:20:00","2022-11-10 04:59:57","2022-11-10 04:59:57"
747571,1,1800,1800,1800,1800,1,16191,001020,"2021-10-12 09:21:00","2022-11-10 04:59:56","2022-11-10 04:59:56"
747570,1,1800,1800,1800,1800,264,16455,001020,"2021-10-12 09:22:00","2022-11-10 04:59:56","2022-11-10 04:59:56"
747569,1,1800,1800,1800,1800,254,16709,001020,"2021-10-12 09:23:00","2022-11-10 04:59:56","2022-11-10 04:59:56"
747568,1,1800,1800,1800,1800,0,16709,001020,"2021-10-12 09:24:00","2022-11-10 04:59:56","2022-11-10 04:59:56"
747567,1,1800,1800,1800,1800,50,16759,001020,"2021-10-12 09:25:00","2022-11-10 04:59:56","2022-11-10 04:59:56"
747566,1,1800,1800,1800,1800,0,16759,001020,"2021-10-12 09:26:00","2022-11-10 04:59:56","2022-11-10 04:59:56"
747565,1,1800,1800,1800,1800,0,16759,001020,"2021-10-12 09:27:00","2022-11-10 04:59:56","2022-11-10 04:59:56"
747564,1,1800,1800,1800,1800,10,16769,001020,"2021-10-12 09:28:00","2022-11-10 04:59:56","2022-11-10 04:59:56"
747563,1,1800,1800,1800,1800,0,16769,001020,"2021-10-12 09:29:00","2022-11-10 04:59:56","2022-11-10 04:59:56"
747562,1,1800,1800,1800,1800,100,16869,001020,"2021-10-12 09:30:00","2022-11-10 04:59:56","2022-11-10 04:59:56"
747561,1,1800,1800,1800,1800,0,16869,001020,"2021-10-12 09:31:00","2022-11-10 04:59:56","2022-11-10 04:59:56"
747560,1,1800,1800,1800,1800,602,17471,001020,"2021-10-12 09:32:00","2022-11-10 04:59:56","2022-11-10 04:59:56"
747559,1,1795,1800,1795,1800,1206,18677,001020,"2021-10-12 09:33:00","2022-11-10 04:59:56","2022-11-10 04:59:56"
747558,1,1790,1790,1790,1790,289,18966,001020,"2021-10-12 09:34:00","2022-11-10 04:59:56","2022-11-10 04:59:56"
747557,1,1795,1795,1795,1795,1,18967,001020,"2021-10-12 09:35:00","2022-11-10 04:59:56","2022-11-10 04:59:56"
747556,1,1795,1790,1780,1795,3001,21968,001020,"2021-10-12 09:36:00","2022-11-10 04:59:56","2022-11-10 04:59:56"
747555,1,1795,1795,1795,1795,0,21968,001020,"2021-10-12 09:37:00","2022-11-10 04:59:56","2022-11-10 04:59:56"
747554,1,1795,1795,1795,1795,23,21991,001020,"2021-10-12 09:38:00","2022-11-10 04:59:56","2022-11-10 04:59:56"
747553,1,1795,1795,1795,1795,0,21991,001020,"2021-10-12 09:39:00","2022-11-10 04:59:56","2022-11-10 04:59:56"
